Date,Region,Facility,Energy_MWh,Emission_Factor,Production,Emissions_tCO2,Waste_Kg,Renewable_percent,Transport_Emissions,PolicyWeight
"Saturday, March 01, 2025",Region 1,Facility 5,257.06022,EF,1807.0,25.67,21150.8,40.0,0,0.8
"Saturday, October 01, 2022",Region 1,Facility 33,257.242,EF,1978.0,0.0,48199.0,40.0,0,0.8
"Monday, April 01, 2024",Region 1,Facility 34,258.21083,EF,1478.0,22.2,41940.0,40.0,0,0.8
"Wednesday, February 01, 2023",Region 1,Facility 33,258.729,EF,1530.0,0.0,37256.0,40.0,0,0.8
"Sunday, September 01, 2024",Region 3,Facility 35,258.93535,EF,2651.07,0.42,206384.5,40.0,0,0.8
"Sunday, May 01, 2022",Region 1,Facility 5,260.69252,EF,1815.0,43.16,24733.6,40.0,0,0.8
"Friday, September 01, 2023",Region 1,Facility 33,261.475,EF,1905.24,0.0,49635.0,40.0,0,0.8
"Friday, September 01, 2023",Region 1,Facility 5,261.51409,EF,1656.0,40.47,20666.7,40.0,0,0.8
"Tuesday, February 01, 2022",Region 3,Facility 35,262.15823,EF,3026.06,0.0,260139.0,40.0,0,0.8
"Monday, May 01, 2023",Region 2,Facility 36,262.36326,EF,1593.48,1.37,160270.0,,0,1.2
"Friday, August 01, 2025",Region 1,Facility 5,263.38752,EF,1934.0,24.19,25498.9,40.0,0,0.8
"Monday, April 01, 2024",Region 1,Facility 4,263.70949,EF,7177.43,3.7,44911.0,40.0,0,0.8
"Thursday, December 01, 2022",Region 1,Facility 33,263.836,EF,1331.0,0.0,43044.0,40.0,0,0.8
"Friday, December 01, 2023",Region 1,Facility 4,265.67936,EF,7490.9,6.27,56581.0,40.0,0,0.8
"Thursday, September 01, 2022",Region 1,Facility 4,266.69379,EF,6006.7,9.94,39168.0,40.0,0,0.8
"Friday, August 01, 2025",Region 3,Facility 35,266.77594,EF,2675.92,0.52,210233.7,40.0,0,0.8
"Tuesday, August 01, 2023",Region 1,Facility 6,267.3144,EF,5757.17,18.33,17420.0,40.0,0,0.8
"Monday, August 01, 2022",Region 1,Facility 5,267.5179,EF,1822.0,21.26,27731.67,40.0,0,0.8
"Tuesday, August 01, 2023",Region 1,Facility 5,269.11681,EF,1778.0,43.02,26514.8,40.0,0,0.8
"Friday, July 01, 2022",Region 1,Facility 5,269.3994,EF,1810.87,31.49,25432.65,40.0,0,0.8
"Tuesday, July 01, 2025",Region 3,Facility 35,269.76606,EF,3273.62,0.42,261947.2,40.0,0,0.8
"Wednesday, March 01, 2023",Region 1,Facility 33,271.461,EF,1485.0,0.0,36230.0,40.0,0,0.8
"Sunday, October 01, 2023",Region 1,Facility 4,272.25022,EF,5918.78,5.63,39279.0,40.0,0,0.8
"Sunday, October 01, 2023",Region 1,Facility 6,272.25921,EF,6608.79,17.79,19750.0,40.0,0,0.8
"Saturday, February 01, 2025",Region 1,Facility 6,272.29474,EF,5174.91,13.36,14050.0,40.0,0,0.8
"Saturday, July 01, 2023",Region 1,Facility 5,272.89511,EF,1785.0,43.07,14916.15,40.0,0,0.8
"Saturday, October 01, 2022",Region 1,Facility 5,273.25502,EF,1796.53,44.57,21997.05,40.0,0,0.8
"Sunday, October 01, 2023",Region 1,Facility 34,273.50524,EF,2236.0,19.97,44582.0,40.0,0,0.8
"Saturday, June 01, 2024",Region 1,Facility 5,273.63715,EF,1713.0,42.8,14985.5,40.0,0,0.8
"Monday, May 01, 2023",Region 1,Facility 33,274.545,EF,1637.82,0.0,32622.72,40.0,0,0.8
"Sunday, January 01, 2023",Region 1,Facility 33,274.96,EF,1698.0,0.0,62973.0,40.0,0,0.8
